$CL|META|providers=cloud|sources=|records=1053
$CL|REC|t=1770000000000|msg=START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
$CL|REC|t=1770000000100|msg=[2026-06-05 01:01:00,100] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/orders-2026-06-04.csv  ->  /tmp/orders-2026-06-04.csv
$CL|REC|t=1770000000300|msg=[2026-06-05 01:01:00,300] INFO: 校验 CSV 表头 expected=12 actual=12 status=ok
$CL|REC|t=1770000000500|msg=[2026-06-05 01:01:00,500] INFO: 推断 schema: [order_id:str, customer_id:str, sku:str, qty:int, unit_price:decimal, currency:str, region:str, channel:str, status:str, created_at:ts, updated_at:ts, notes:str]
$CL|REC|t=1770000000600|msg=[2026-06-05 01:01:00,600] INFO: 启动批处理进程：python etl_worker.py --input /tmp/orders-2026-06-04.csv --output-prefix s3://sample-batch-processor/parquet/orders/2026-06-05/ --target-format parquet --compression snappy --partition-by region --target-file-size 134217728 --max-concurrency 8 --batch-size 5000 --request-timeout 60 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict overwrite --manifest /tmp/orders-2026-06-04.csv.manifest.json
$CL|REC|t=1770000000800|msg=[2026-06-05 01:01:00,800] INFO: [worker stdout] [2026-06-05 01:01:00,800] INFO: 共加载 1024 个 batch，shards: ['shard-0', 'shard-1', 'shard-2', 'shard-3']
$CL|REC|t=1770000010000|msg=[2026-06-05 01:01:20,000] INFO: [worker stdout] [2026-06-05 01:01:20,000] INFO: [进度] 1/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000010050|msg=[2026-06-05 01:01:20,050] INFO: [worker stdout] [2026-06-05 01:01:20,050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00000.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000010200|msg=[2026-06-05 01:01:20,200] INFO: [worker stdout] [2026-06-05 01:01:20,200] INFO: [进度] 2/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000010250|msg=[2026-06-05 01:01:20,250] INFO: [worker stdout] [2026-06-05 01:01:20,250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00001.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000010400|msg=[2026-06-05 01:01:20,400] INFO: [worker stdout] [2026-06-05 01:01:20,400] INFO: [进度] 3/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000010450|msg=[2026-06-05 01:01:20,450] INFO: [worker stdout] [2026-06-05 01:01:20,450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00002.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000010600|msg=[2026-06-05 01:01:20,600] INFO: [worker stdout] [2026-06-05 01:01:20,600] INFO: [进度] 4/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000010650|msg=[2026-06-05 01:01:20,650] INFO: [worker stdout] [2026-06-05 01:01:20,650] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00003.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000010800|msg=[2026-06-05 01:01:20,800] INFO: [worker stdout] [2026-06-05 01:01:20,800] INFO: [进度] 5/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000010850|msg=[2026-06-05 01:01:20,850] INFO: [worker stdout] [2026-06-05 01:01:20,850] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00004.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000011000|msg=[2026-06-05 01:01:20,1000] INFO: [worker stdout] [2026-06-05 01:01:20,1000] INFO: [进度] 6/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000011050|msg=[2026-06-05 01:01:21,050] INFO: [worker stdout] [2026-06-05 01:01:21,050] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00005.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000011200|msg=[2026-06-05 01:01:20,1200] INFO: [worker stdout] [2026-06-05 01:01:20,1200] INFO: [进度] 7/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000011250|msg=[2026-06-05 01:01:21,250] INFO: [worker stdout] [2026-06-05 01:01:21,250] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00006.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000011400|msg=[2026-06-05 01:01:20,1400] INFO: [worker stdout] [2026-06-05 01:01:20,1400] INFO: [进度] 8/1024 | shard=shard-0 | partition=region=EU
$CL|REC|t=1770000011450|msg=[2026-06-05 01:01:21,450] INFO: [worker stdout] [2026-06-05 01:01:21,450] INFO: 写出 batch | shard=shard-0 | rows=5000 | bytes=4194304 | path=s3://sample-batch-processor/parquet/orders/2026-06-05/region=eu/part-00007.snappy.parquet | engine=pyarrow
$CL|REC|t=1770000011600|msg=[2026-06-05 01:01:20,1600] INFO: [worker stdout] [2026-06-05 01:01:20,1600] INFO: [进度] 9/1024 | shard=shard-0 | partition=region=EU
