$CL|META|providers=cloud|sources=|records=1625
$CL|REC|t=1775437264228|msg=START RequestId: b2c3d4e5-f6a7-8901-bcde-f23456789012 Version: $LATEST
$CL|REC|t=1775437264238|msg=[2026-04-06 01:01:04,238] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/docs-manifest-2026-04-06.json  ->  /tmp/docs-manifest-2026-04-06.json
$CL|REC|t=1775437264258|msg=[2026-04-06 01:01:04,258] INFO: 加载清单 200 个文档来源，类别: [manual, report, spec, contract, faq]
$CL|REC|t=1775437264278|msg=[2026-04-06 01:01:04,278] INFO: 启动批处理进程：python doc_indexer.py --input /tmp/docs-manifest-2026-04-06.json --output-index sample-search-prod --parser auto --max-concurrency 6 --request-timeout 60 --chunk-size 1024 --chunk-overlap 128 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict upsert
$CL|REC|t=1775437266228|msg=[2026-04-06 01:01:06,000] INFO: [worker stdout] [2026-04-06 01:01:06,000] INFO: [进度] 1/200 | shard=shard-0 | category=manual | doc=doc-0001.pdf
$CL|REC|t=1775437266308|msg=[2026-04-06 01:01:06,080] INFO: [worker stdout] [2026-04-06 01:01:06,080] INFO: 解析中 | doc=doc-0001.pdf | pages=12 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437266448|msg=[2026-04-06 01:01:06,220] INFO: [worker stdout] [2026-04-06 01:01:06,220] INFO: 索引中 | doc=doc-0001.pdf | chunks=148 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437266508|msg=[2026-04-06 01:01:06,280] INFO: [worker stdout] [2026-04-06 01:01:06,280] INFO: 完成 | doc=doc-0001.pdf | ms=280 | chunks_indexed=148
$CL|REC|t=1775437266628|msg=[2026-04-06 01:01:06,400] INFO: [worker stdout] [2026-04-06 01:01:06,400] INFO: [进度] 2/200 | shard=shard-0 | category=manual | doc=doc-0002.pdf
$CL|REC|t=1775437266708|msg=[2026-04-06 01:01:06,480] INFO: [worker stdout] [2026-04-06 01:01:06,480] INFO: 解析中 | doc=doc-0002.pdf | pages=18 | parser=pdfplumber | size_bytes=524288
$CL|REC|t=1775437266848|msg=[2026-04-06 01:01:06,620] INFO: [worker stdout] [2026-04-06 01:01:06,620] INFO: 索引中 | doc=doc-0002.pdf | chunks=226 | embedding_model=text-emb-3s | index=sample-search-prod
$CL|REC|t=1775437266908|msg=[2026-04-06 01:01:06,680] INFO: [worker stdout] [2026-04-06 01:01:06,680] INFO: 完成 | doc=doc-0002.pdf | ms=280 | chunks_indexed=226
$CL|REC|t=1775437267028|msg=[2026-04-06 01:01:06,800] INFO: [worker stdout] [2026-04-06 01:01:06,800] INFO: [进度] 3/200 | shard=shard-0 | category=report | doc=doc-0003.pdf
$CL|REC|t=1775437267108|msg=[2026-04-06 01:01:06,880] INFO: [worker stdout] [2026-04-06 01:01:06,880] INFO: 解析中 | doc=doc-0003.pdf | pages=8 | parser=pdfplumber | size_bytes=524288
