$CL|META|providers=cloud|sources=|records=697
$CL|REC|t=1780621264700|msg=START RequestId: 196a221f-ccf1-4231-9769-f0e4e8b5db42 Version: $LATEST
$CL|REC|t=1780621264710|msg=[2026-06-05 01:01:04,710] INFO: 下载 S3 -> 本地: s3://sample-batch-processor/input/app-logs-2026-06-04.tar.gz  ->  /tmp/app-logs-2026-06-04.tar.gz
$CL|REC|t=1780621264730|msg=[2026-06-05 01:01:04,730] INFO: 解压 -> /tmp/app-logs-2026-06-04/ (files=24, total_size=157286400)
$CL|REC|t=1780621264750|msg=[2026-06-05 01:01:04,750] INFO: 启动批处理进程：python log_analytics.py --input-dir /tmp/app-logs-2026-06-04/ --output-bucket s3://sample-batch-processor/metrics/2026-06-05/ --rollup-window 60 --max-concurrency 8 --request-timeout 60 --log-level INFO --db-host db-primary.example.local --db-port 3306 --db-name sample_app --db-user app --db-pass REDACTED --on-conflict overwrite
$CL|REC|t=1780621266700|msg=[2026-06-05 01:01:06,000] INFO: [worker stdout] [2026-06-05 01:01:06,000] INFO: [进度] 1/112 | shard=shard-0 | service=api-gateway | window=2026-06-04T00:00:00Z/PT60S
$CL|REC|t=1780621266780|msg=[2026-06-05 01:01:06,080] INFO: [worker stdout] [2026-06-05 01:01:06,080] INFO: 聚合中 | service=api-gateway | window=2026-06-04T00:00:00Z | count=1000 | p50_ms=40 | p99_ms=180 | err_rate=0.000
$CL|REC|t=1780621266900|msg=[2026-06-05 01:01:06,200] INFO: [worker stdout] [2026-06-05 01:01:06,200] INFO: 写入指标 | service=api-gateway | window=2026-06-04T00:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T00:00:00Z.json | engine=duckdb
$CL|REC|t=1780621267050|msg=[2026-06-05 01:01:06,350] INFO: [worker stdout] [2026-06-05 01:01:06,350] INFO: [进度] 2/112 | shard=shard-0 | service=auth-svc | window=2026-06-04T01:00:00Z/PT60S
$CL|REC|t=1780621267130|msg=[2026-06-05 01:01:06,430] INFO: [worker stdout] [2026-06-05 01:01:06,430] INFO: 聚合中 | service=auth-svc | window=2026-06-04T01:00:00Z | count=1047 | p50_ms=43 | p99_ms=187 | err_rate=0.013
$CL|REC|t=1780621267250|msg=[2026-06-05 01:01:06,550] INFO: [worker stdout] [2026-06-05 01:01:06,550] INFO: 写入指标 | service=auth-svc | window=2026-06-04T01:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T01:00:00Z.json | engine=duckdb
$CL|REC|t=1780621267400|msg=[2026-06-05 01:01:06,700] INFO: [worker stdout] [2026-06-05 01:01:06,700] INFO: [进度] 3/112 | shard=shard-0 | service=billing-svc | window=2026-06-04T02:00:00Z/PT60S
$CL|REC|t=1780621267480|msg=[2026-06-05 01:01:06,780] INFO: [worker stdout] [2026-06-05 01:01:06,780] INFO: 聚合中 | service=billing-svc | window=2026-06-04T02:00:00Z | count=1094 | p50_ms=46 | p99_ms=194 | err_rate=0.026
$CL|REC|t=1780621267600|msg=[2026-06-05 01:01:06,900] INFO: [worker stdout] [2026-06-05 01:01:06,900] INFO: 写入指标 | service=billing-svc | window=2026-06-04T02:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=billing-svc/2026-06-04T02:00:00Z.json | engine=duckdb
$CL|REC|t=1780621267750|msg=[2026-06-05 01:01:07,050] INFO: [worker stdout] [2026-06-05 01:01:07,050] INFO: [进度] 4/112 | shard=shard-0 | service=notif-svc | window=2026-06-04T03:00:00Z/PT60S
$CL|REC|t=1780621267830|msg=[2026-06-05 01:01:07,130] INFO: [worker stdout] [2026-06-05 01:01:07,130] INFO: 聚合中 | service=notif-svc | window=2026-06-04T03:00:00Z | count=1141 | p50_ms=49 | p99_ms=201 | err_rate=0.039
$CL|REC|t=1780621267950|msg=[2026-06-05 01:01:07,250] INFO: [worker stdout] [2026-06-05 01:01:07,250] INFO: 写入指标 | service=notif-svc | window=2026-06-04T03:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=notif-svc/2026-06-04T03:00:00Z.json | engine=duckdb
$CL|REC|t=1780621268100|msg=[2026-06-05 01:01:07,400] INFO: [worker stdout] [2026-06-05 01:01:07,400] INFO: [进度] 5/112 | shard=shard-0 | service=ingest-svc | window=2026-06-04T04:00:00Z/PT60S
$CL|REC|t=1780621268180|msg=[2026-06-05 01:01:07,480] INFO: [worker stdout] [2026-06-05 01:01:07,480] INFO: 聚合中 | service=ingest-svc | window=2026-06-04T04:00:00Z | count=1188 | p50_ms=52 | p99_ms=208 | err_rate=0.052
$CL|REC|t=1780621268300|msg=[2026-06-05 01:01:07,600] INFO: [worker stdout] [2026-06-05 01:01:07,600] INFO: 写入指标 | service=ingest-svc | window=2026-06-04T04:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=ingest-svc/2026-06-04T04:00:00Z.json | engine=duckdb
$CL|REC|t=1780621268450|msg=[2026-06-05 01:01:07,750] INFO: [worker stdout] [2026-06-05 01:01:07,750] INFO: [进度] 6/112 | shard=shard-0 | service=report-svc | window=2026-06-04T05:00:00Z/PT60S
$CL|REC|t=1780621268530|msg=[2026-06-05 01:01:07,830] INFO: [worker stdout] [2026-06-05 01:01:07,830] INFO: 聚合中 | service=report-svc | window=2026-06-04T05:00:00Z | count=1235 | p50_ms=55 | p99_ms=215 | err_rate=0.065
$CL|REC|t=1780621268650|msg=[2026-06-05 01:01:07,950] INFO: [worker stdout] [2026-06-05 01:01:07,950] INFO: 写入指标 | service=report-svc | window=2026-06-04T05:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=report-svc/2026-06-04T05:00:00Z.json | engine=duckdb
$CL|REC|t=1780621268800|msg=[2026-06-05 01:01:08,100] INFO: [worker stdout] [2026-06-05 01:01:08,100] INFO: [进度] 7/112 | shard=shard-0 | service=search-svc | window=2026-06-04T06:00:00Z/PT60S
$CL|REC|t=1780621268880|msg=[2026-06-05 01:01:08,180] INFO: [worker stdout] [2026-06-05 01:01:08,180] INFO: 聚合中 | service=search-svc | window=2026-06-04T06:00:00Z | count=1282 | p50_ms=58 | p99_ms=222 | err_rate=0.078
$CL|REC|t=1780621269000|msg=[2026-06-05 01:01:08,300] INFO: [worker stdout] [2026-06-05 01:01:08,300] INFO: 写入指标 | service=search-svc | window=2026-06-04T06:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=search-svc/2026-06-04T06:00:00Z.json | engine=duckdb
$CL|REC|t=1780621269150|msg=[2026-06-05 01:01:08,450] INFO: [worker stdout] [2026-06-05 01:01:08,450] INFO: [进度] 8/112 | shard=shard-0 | service=media-svc | window=2026-06-04T07:00:00Z/PT60S
$CL|REC|t=1780621269230|msg=[2026-06-05 01:01:08,530] INFO: [worker stdout] [2026-06-05 01:01:08,530] INFO: 聚合中 | service=media-svc | window=2026-06-04T07:00:00Z | count=1329 | p50_ms=61 | p99_ms=229 | err_rate=0.091
$CL|REC|t=1780621269350|msg=[2026-06-05 01:01:08,650] INFO: [worker stdout] [2026-06-05 01:01:08,650] INFO: 写入指标 | service=media-svc | window=2026-06-04T07:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=media-svc/2026-06-04T07:00:00Z.json | engine=duckdb
$CL|REC|t=1780621269500|msg=[2026-06-05 01:01:08,800] INFO: [worker stdout] [2026-06-05 01:01:08,800] INFO: [进度] 9/112 | shard=shard-0 | service=api-gateway | window=2026-06-04T08:00:00Z/PT60S
$CL|REC|t=1780621269580|msg=[2026-06-05 01:01:08,880] INFO: [worker stdout] [2026-06-05 01:01:08,880] INFO: 聚合中 | service=api-gateway | window=2026-06-04T08:00:00Z | count=1376 | p50_ms=64 | p99_ms=236 | err_rate=0.004
$CL|REC|t=1780621269700|msg=[2026-06-05 01:01:09,000] INFO: [worker stdout] [2026-06-05 01:01:09,000] INFO: 写入指标 | service=api-gateway | window=2026-06-04T08:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=api-gateway/2026-06-04T08:00:00Z.json | engine=duckdb
$CL|REC|t=1780621269850|msg=[2026-06-05 01:01:09,150] INFO: [worker stdout] [2026-06-05 01:01:09,150] INFO: [进度] 10/112 | shard=shard-0 | service=auth-svc | window=2026-06-04T09:00:00Z/PT60S
$CL|REC|t=1780621269930|msg=[2026-06-05 01:01:09,230] INFO: [worker stdout] [2026-06-05 01:01:09,230] INFO: 聚合中 | service=auth-svc | window=2026-06-04T09:00:00Z | count=1423 | p50_ms=67 | p99_ms=243 | err_rate=0.017
$CL|REC|t=1780621270050|msg=[2026-06-05 01:01:09,350] INFO: [worker stdout] [2026-06-05 01:01:09,350] INFO: 写入指标 | service=auth-svc | window=2026-06-04T09:00:00Z | out=s3://sample-batch-processor/metrics/2026-06-05/service=auth-svc/2026-06-04T09:00:00Z.json | engine=duckdb
$CL|REC|t=1780621270200|msg=[2026-06-05 01:01:09,500] INFO: [worker stdout] [2026-06-05 01:01:09,500] INFO: [进度] 11/112 | shard=shard-0 | service=billing-svc | window=2026-06-04T10:00:00Z/PT60S
$CL|REC|t=1780621270280|msg=[2026-06-05 01:01:09,580] INFO: [worker stdout] [2026-06-05 01:01:09,580] INFO: 聚合中 | service=billing-svc | window=2026-06-04T10:00:00Z | count=1470 | p50_ms=70 | p99_ms=250 | err_rate=0.030
