git log --oneline -n 50
aaaaaaaaaa01ffffffffffffffffffffffffffff feat: collision item 1
aaaaaaaaaa02ffffffffffffffffffffffffffff feat: collision item 2
aaaaaaaaaa03ffffffffffffffffffffffffffff feat: collision item 3
aaaaaaaaaa04ffffffffffffffffffffffffffff feat: collision item 4
aaaaaaaaaa05ffffffffffffffffffffffffffff feat: collision item 5
aaaaaaaaaa06ffffffffffffffffffffffffffff feat: collision item 6
aaaaaaaaaa07ffffffffffffffffffffffffffff feat: collision item 7
aaaaaaaaaa08ffffffffffffffffffffffffffff feat: collision item 8
aaaaaaaaaa09ffffffffffffffffffffffffffff feat: collision item 9
aaaaaaaaaa0affffffffffffffffffffffffffff feat: collision item 10
aaaaaaaaaa0bffffffffffffffffffffffffffff feat: collision item 11
aaaaaaaaaa0cffffffffffffffffffffffffffff feat: collision item 12
aaaaaaaaaa0dffffffffffffffffffffffffffff feat: collision item 13
aaaaaaaaaa0effffffffffffffffffffffffffff feat: collision item 14
aaaaaaaaaa0fffffffffffffffffffffffffffff feat: collision item 15
aaaaaaaaaa10ffffffffffffffffffffffffffff feat: collision item 16
aaaaaaaaaa11ffffffffffffffffffffffffffff feat: collision item 17
aaaaaaaaaa12ffffffffffffffffffffffffffff feat: collision item 18
aaaaaaaaaa13ffffffffffffffffffffffffffff feat: collision item 19
aaaaaaaaaa14ffffffffffffffffffffffffffff feat: collision item 20
aaaaaaaaaa15ffffffffffffffffffffffffffff feat: collision item 21
aaaaaaaaaa16ffffffffffffffffffffffffffff feat: collision item 22
aaaaaaaaaa17ffffffffffffffffffffffffffff feat: collision item 23
aaaaaaaaaa18ffffffffffffffffffffffffffff feat: collision item 24
aaaaaaaaaa19ffffffffffffffffffffffffffff feat: collision item 25
aaaaaaaaaa1affffffffffffffffffffffffffff feat: collision item 26
aaaaaaaaaa1bffffffffffffffffffffffffffff feat: collision item 27
aaaaaaaaaa1cffffffffffffffffffffffffffff feat: collision item 28
aaaaaaaaaa1dffffffffffffffffffffffffffff feat: collision item 29
aaaaaaaaaa1effffffffffffffffffffffffffff feat: collision item 30
aaaaaaaaaa1fffffffffffffffffffffffffffff feat: collision item 31
aaaaaaaaaa20ffffffffffffffffffffffffffff feat: collision item 32
aaaaaaaaaa21ffffffffffffffffffffffffffff feat: collision item 33
aaaaaaaaaa22ffffffffffffffffffffffffffff feat: collision item 34
aaaaaaaaaa23ffffffffffffffffffffffffffff feat: collision item 35
aaaaaaaaaa24ffffffffffffffffffffffffffff feat: collision item 36
aaaaaaaaaa25ffffffffffffffffffffffffffff feat: collision item 37
aaaaaaaaaa26ffffffffffffffffffffffffffff feat: collision item 38
aaaaaaaaaa27ffffffffffffffffffffffffffff feat: collision item 39
aaaaaaaaaa28ffffffffffffffffffffffffffff feat: collision item 40
aaaaaaaaaa29ffffffffffffffffffffffffffff feat: collision item 41
aaaaaaaaaa2affffffffffffffffffffffffffff feat: collision item 42
aaaaaaaaaa2bffffffffffffffffffffffffffff feat: collision item 43
aaaaaaaaaa2cffffffffffffffffffffffffffff feat: collision item 44
aaaaaaaaaa2dffffffffffffffffffffffffffff feat: collision item 45
aaaaaaaaaa2effffffffffffffffffffffffffff feat: collision item 46
aaaaaaaaaa2fffffffffffffffffffffffffffff feat: collision item 47
aaaaaaaaaa30ffffffffffffffffffffffffffff feat: collision item 48
aaaaaaaaaa31ffffffffffffffffffffffffffff feat: collision item 49
aaaaaaaaaa32ffffffffffffffffffffffffffff feat: collision item 50
