p4 fstat
... depotFile //depot/main/src/core/doctor_workspace/methods.rs
... clientFile C:\workspace\project\src\core\doctor_workspace\methods.rs
... headAction edit
... headType text
... headTime 1712131931
... headRev 8
... headChange 12340
... haveRev 7
... action edit
... depotFile //depot/main/src/plugins/vcs_plugin/parser.rs
... clientFile C:\workspace\project\src\plugins\vcs_plugin\parser.rs
... headAction add
... headType text
... headTime 1712131931
... headRev 3
... headChange 12345
... haveRev 0
... action add
... depotFile //depot/main/src/plugins/vcs_plugin/methods.rs
... clientFile C:\workspace\project\src\plugins\vcs_plugin\methods.rs
... headAction edit
... headType text
... headTime 1712131931
... headRev 12
... headChange 12344
... haveRev 11
... action edit
... depotFile //depot/main/config/vcs_plugin.json
... clientFile C:\workspace\project\config\vcs_plugin.json
... headAction add
... headType text
... headTime 1712045531
... headRev 2
... headChange 12342
... haveRev 0
... action add
... depotFile //depot/main/docs/design/vcs_plugin.md
... clientFile C:\workspace\project\docs\design\vcs_plugin.md
... headAction edit
... headType text
... headTime 1711959131
... headRev 5
... headChange 12341
... haveRev 4
... action edit
