timestamp,source,ClientIP,ClientRequestMethod,ClientRequestURI,EdgeResponseStatus,EdgeResponseBytes,ClientRequestUserAgent
2026-05-13T08:27:01Z,cloudflare,203.0.113.101,GET,/cdn/app.js,200,9000,Mozilla/5.0
2026-05-13T08:27:02Z,cloudflare,203.0.113.102,GET,/api/private,403,201,BadBot/1.0
2026-05-13T08:27:03Z,cloudflare,203.0.113.102,GET,/wp-login.php,404,201,BadBot/1.0
2026-05-13T08:27:04Z,cloudflare,203.0.113.103,GET,/cdn/app.css,200,4100,Mozilla/5.0
2026-05-13T08:27:05Z,cloudflare,203.0.113.104,GET,/cdn/app.js,200,9000,Mozilla/5.0
2026-05-13T08:27:06Z,cloudflare,203.0.113.102,GET,/.env,404,201,BadBot/1.0
2026-05-13T08:27:07Z,cloudflare,203.0.113.105,POST,/api/documents,500,90,Mozilla/5.0
2026-05-13T08:27:08Z,cloudflare,203.0.113.106,GET,/cdn/app.css,200,4100,Mozilla/5.0
2026-05-13T08:27:09Z,cloudflare,203.0.113.107,GET,/cdn/app.js,200,9000,Mozilla/5.0
2026-05-13T08:27:10Z,cloudflare,203.0.113.108,GET,/cdn/app.css,200,4100,Mozilla/5.0
2026-05-13T08:27:11Z,cloudflare,203.0.113.102,GET,/wp-login.php,404,201,BadBot/1.0
2026-05-13T08:27:12Z,cloudflare,203.0.113.102,GET,/.git/config,404,201,BadBot/1.0
2026-05-13T08:27:13Z,cloudflare,203.0.113.109,POST,/api/documents,500,90,Mozilla/5.0
2026-05-13T08:27:14Z,cloudflare,203.0.113.110,GET,/cdn/app.js,200,9000,Mozilla/5.0
2026-05-13T08:27:15Z,cloudflare,203.0.113.111,GET,/cdn/app.css,200,4100,Mozilla/5.0
2026-05-13T08:27:16Z,cloudflare,203.0.113.102,GET,/api/private,403,201,BadBot/1.0
